# z_spec z_spec_err MUV [mag] MUV_err [mag]
10.957, 0.001, -21.710098820818647, 0.07000005889466598
9.793, 0.002, -17.35, 0.03
9.1096, 0.0006, -19.197292738636303, 0.010000207610202433
8.78, 0.0, -20.59201780432995, 0.12
8.683, 0.0025, -22.05529881165384, 0.09000043655124909
8.382, 0.0, -20.522028577319354, 0.04
8.312, 0.0003, -20.849326642841035, 0.050000012235033475
8.04, 0.15, -20.37, 0.02
7.945, 0.001, -20.970666825706694, 0.00012137911735697366
7.90, 0.13, -19.68, 0.06
7.7302, 0.0006, -22.108774118995957, 0.05000005568042132
7.677, 0., -22.2, 0.2
7.675, 0., -22.5, 0.1
7.64, 0.001, -19.640782629730403, 0.10000007895706348
7.508, 0.0, -21.494009550893225, 0.0
7.5, 0.2, -20.1923696044529, 0.11292756806820012
